time,DOM_GDP___shock1_1,DOM_GDP___shock1_2,DOM_GDP___shock1_3,DOM_GDP___shock2_1,DOM_GDP___shock2_2,DOM_GDP___shock2_3,DOM_GDP___shock3_1,DOM_GDP___shock3_2,DOM_GDP___shock3_3,DOM_CPI___shock1_1,DOM_CPI___shock1_2,DOM_CPI___shock1_3,DOM_CPI___shock2_1,DOM_CPI___shock2_2,DOM_CPI___shock2_3,DOM_CPI___shock3_1,DOM_CPI___shock3_2,DOM_CPI___shock3_3,STN___shock1_1,STN___shock1_2,STN___shock1_3,STN___shock2_1,STN___shock2_2,STN___shock2_3,STN___shock3_1,STN___shock3_2,STN___shock3_3
2014-Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-Q1,0.811570216849563,0.882011473443581,0.976184741546656,0.0462481049134838,0.121727416228726,0.192167061065342,0.202171399120213,0.29391294912513,0.400854128293409,0,0,0,0.536532092095902,0.582775480969197,0.635774903974737,0.0343489486178893,0.124625052604517,0.214812592913968,0,0,0,0,0,0,0.729580664347685,0.789578773979483,0.869162009324632
2015-Q2,0.668697970928339,0.750302890711662,0.847790779339696,0.0936696536117286,0.177642417912538,0.263702228004274,0.271377532076128,0.368842547742995,0.491903028886189,-0.0814454773572426,-0.0212621272514601,0.0434676064569785,0.513374196628595,0.570922661086488,0.641275819321615,0.0627456664046781,0.160274024795582,0.272660575796607,-0.0499610552863166,-0.0044908234246486,0.0516910422674732,0.0139282092466395,0.0499977581565027,0.0858712787141098,0.643028887141147,0.715291835494978,0.803549352827342
2015-Q3,0.4567641642566,0.560673480409554,0.67241009282147,0.118311626727488,0.220522895361121,0.320342383994482,0.307728834482068,0.425436647063902,0.57070972710477,-0.158014527066506,-0.0680908610012474,0.0174249536271313,0.442818456167501,0.517961282135323,0.599321746051958,0.0860410046708721,0.2070922633216,0.332811373803989,-0.111763526674799,-0.0425315074384689,0.0393332087220322,0.0292726125079803,0.0816380943717002,0.137476540840743,0.553786966645852,0.632799084394968,0.745878267418156
2015-Q4,0.248390609974442,0.355530852836215,0.478713345130778,0.127678697693758,0.239736837872845,0.352216208896135,0.336785880313498,0.477509041640225,0.632850911746132,-0.203544809945264,-0.0977402383293515,-0.00125371738804802,0.363476701744581,0.450729496649802,0.545208263311585,0.112907268138943,0.248590547341188,0.392631127775363,-0.151523666042074,-0.07032072583286,0.0106010765682041,0.0266376615088466,0.0900086852753497,0.160257304646273,0.476838294523263,0.570215339721933,0.699547890823868
2016-Q1,0.0884897829415423,0.201813698648972,0.331415831243065,0.135882098291806,0.252780526894062,0.371757522058447,0.364506494701591,0.519632165218206,0.700258612764265,-0.203617729995124,-0.105017303622761,-0.00348427849385747,0.31058204656392,0.404623425626119,0.506990269932183,0.140847214327861,0.279761856613839,0.439832969890606,-0.160399444321389,-0.0797440846788718,-0.00027595992797588,0.00957997676884774,0.0809091296988378,0.158736095562444,0.412581534136421,0.515990501936012,0.658221861107501
2016-Q2,-0.0137464448104657,0.0901196075919353,0.22610367768435,0.130045654600349,0.252494307721194,0.391420740512716,0.364956334181617,0.536787596126918,0.734397383837739,-0.204926157339132,-0.104005320266904,-0.00532291745573223,0.264224663826825,0.362376246545096,0.476156650737208,0.144649257805408,0.300934999385836,0.474537528134568,-0.161144310024599,-0.0801632674800541,-0.00603831453261565,-0.00674471237159857,0.0723323251693848,0.157933262815465,0.350132550282233,0.468159671332176,0.613831364017794
2016-Q3,-0.0838838189398574,0.0157778564252673,0.143617388879591,0.123717830591499,0.245863523484202,0.394050746706967,0.350093196852844,0.536569473588981,0.758315132229288,-0.203370290359396,-0.101283607534409,-0.00491540574526721,0.22095129238291,0.327949220621277,0.447912087876694,0.14319881286481,0.311239774055895,0.501205602873294,-0.15722485625605,-0.0765382782601841,-0.00335724181442813,-0.0208897360251677,0.0665589492303247,0.154991754314443,0.291872945949433,0.419871482310819,0.5770004940544
2016-Q4,-0.11897150435336,-0.0305313534297807,0.0816312547700872,0.117537499094248,0.235468002298302,0.390832792151326,0.332790779738303,0.524105330472325,0.765105381974616,-0.19030338255876,-0.0961403109457209,-0.00358537772280735,0.181473622123938,0.29224643136118,0.423328289443625,0.135296316747368,0.313913915974931,0.51775602038729,-0.147718843152347,-0.0706661445710397,-0.000777159778307401,-0.0341228472026316,0.0588532713952619,0.153265224935373,0.236162434548697,0.380024863110086,0.545996978379089
2017-Q1,-0.133354772587811,-0.0580912206404858,0.0426623752250833,0.104429188115767,0.219995965753745,0.371630713993829,0.316953639117592,0.501277737645623,0.762007145275343,-0.17537274700394,-0.0892124949670774,-0.0038911865326738,0.149095432964784,0.261782438633919,0.398274294760184,0.12945325152647,0.309632004091695,0.530672263969446,-0.133821788333979,-0.0651545620805472,0.000475140025476675,-0.0455469629539438,0.051577926455655,0.15202993553998,0.181590335472107,0.340092344867979,0.5182012887063
