Time,shock1_1,shock1_2,shock1_3,shock2_1,shock2_2,shock2_3,shock3_1,shock3_2,shock3_3
1975-Q1,-2.77898283879638,-2.24036699458924,-1.76892434876307,0.372579430519278,0.951750527576711,1.49352940085661,-3.76403524353728,-3.12458168635106,-2.46745209952662
1975-Q2,0.315295234902551,0.885258061600025,1.3640190787235,-1.67225204915119,-1.0954217765974,-0.546799049078658,-1.98629685387981,-1.39712740812272,-0.830826852078889
1975-Q3,0.618557999443018,1.17316850279357,1.67715882767674,-1.08036841368547,-0.569509367558419,-0.0578724513242556,-0.268322313045517,0.282641284668864,0.728146648458388
1975-Q4,1.57524296856811,2.01306910612968,2.49343931091667,-0.643951893686796,-0.138960111696767,0.33179971291479,-2.53087805876339,-1.95569019964874,-1.4465579000453
1976-Q1,1.10717510945917,1.49143641989983,1.9470812241375,-0.477481823371018,0.00972255356649101,0.433911663295384,-2.39884721789443,-1.85671457828146,-1.42587345297564
1976-Q2,-1.00740529980923,-0.591306548107507,-0.192993277816891,-1.91066074875505,-1.44111157978099,-1.04531650045087,-0.399659433983466,0.0609796355821411,0.523429266912165
1976-Q3,-0.813073730976964,-0.478999333950431,-0.139703418643784,-0.406226909887121,-0.0741065826707916,0.264699712560259,-0.663111906691229,-0.336661116065771,0.00320472903306122
1976-Q4,-1.64799688597628,-1.34975872718803,-1.03354125111385,0.563776637509744,0.886715058740267,1.20565844752233,-0.996857804583348,-0.627102732454327,-0.267109041783682
1977-Q1,0.189364937081243,0.469934448572723,0.74402212515329,1.33837156541138,1.68230828411975,2.02240197688874,-1.4292059079409,-1.0264914094165,-0.684031345340482
1977-Q2,1.30659919993887,1.60723285600299,1.94628224864644,-0.197151214221311,0.232369893992128,0.585652546075138,-0.888899496659921,-0.494036097593441,-0.127934029964172
1977-Q3,1.04966608188437,1.336905921318,1.68729495424984,-0.474430559453507,-0.107637962216266,0.218891861669595,-0.653619016874279,-0.309396067424625,0.0787224864523882
1977-Q4,-1.13840271341784,-0.785005791366334,-0.467281367339527,-0.58864204827282,-0.254024293282402,0.0668986602062319,0.188597867286875,0.510762373432677,0.841328857392682
1978-Q1,-1.675151367539,-1.33880941787544,-1.01777954759552,0.0971637650605047,0.413382530074375,0.712706318917166,-0.00758148017482011,0.315407124105098,0.638810789778926
1978-Q2,2.17773641688336,2.52289853859055,2.88209916343289,0.768842773383005,1.20930121697041,1.65881126965779,-1.09581007784508,-0.673622918323726,-0.27774533497704
1978-Q3,1.16100347774749,1.47604001381242,1.81518148465132,0.790428312674618,1.21933088069008,1.572844079209,-0.635008127882792,-0.225985792710281,0.15017384197754
1978-Q4,1.47127890314863,1.82012223507147,2.21977173639216,0.341327253881828,0.774951144485917,1.20359131128397,0.0263309857496157,0.456025359662228,0.888768903018436
1979-Q1,-3.47260591049368,-2.89775066247952,-2.45137984921765,0.60799229920444,1.14401204066652,1.66028261786573,0.32720397278096,0.865448408664783,1.41188623094597
1979-Q2,-0.540350867106824,-0.13290309594076,0.280148500336663,1.55909443391854,1.93876845536515,2.32729689258982,-0.71917768408707,-0.284729264921466,0.114274198441398
1979-Q3,-0.498992600108157,-0.0688511816782691,0.314736536848959,1.74252760661774,2.14372024482121,2.59974386683279,0.0139562103891062,0.474803513402364,0.913899729017565
1979-Q4,-0.0475118771984229,0.377940904229761,0.80647908592431,1.33561525774836,1.77772326333926,2.24551186693586,2.3115125821178,2.76537876083031,3.29414155333943
1980-Q1,0.0831957837895778,0.558212212778898,1.03312051701499,1.4039385477106,1.90140121004209,2.42250844168877,0.993640206085616,1.50949418112544,2.01469336879114
1980-Q2,-3.2283113699836,-2.65227640755909,-2.10352031363817,0.984735481878956,1.61685108877181,2.17806103881527,-2.62950808543394,-1.99103233662765,-1.34605844671909
1980-Q3,-0.939257040195847,-0.384103878393767,0.113371432771602,-1.12996877244642,-0.575703991516409,-0.0316379562602178,-3.68823637689273,-3.06955564708784,-2.48816977091154
1980-Q4,0.704784496210465,1.26293663366513,1.81791948709071,-0.894879992020029,-0.332530145892645,0.282896866109707,6.33442596451006,7.17355694348431,7.98546287461491
1981-Q1,3.39255443746377,4.02566414173564,4.8601695792354,-1.95277769270195,-1.16510698002813,-0.372811575418552,-0.509138601117286,0.238549220461648,1.03033072597538
1981-Q2,-0.847357564907822,-0.23960763582651,0.378643855219204,-0.0640082460985507,0.490730756879811,1.10812076956092,1.44751330370822,2.09023782126237,2.72541383326867
1981-Q3,-0.561662830794087,-0.0131698010293314,0.535950349865462,-0.422974175067001,0.13149268363671,0.651798667327495,-0.0401765319200314,0.529309172689321,1.02992059236739
1981-Q4,-3.33874485193569,-2.7722053427769,-2.26158600244279,-1.50513160548548,-0.961234168950113,-0.36650398364767,-3.75161649923396,-3.0461708336013,-2.40139008143184
1982-Q1,-1.38407268207099,-0.887337826715979,-0.398206223807216,-1.30357572388376,-0.787443577879303,-0.295271791029871,1.53292837852964,2.05343192243409,2.61659102428417
1982-Q2,-1.76039999457211,-1.27059719295139,-0.796526393034586,-1.79189366456468,-1.19944674492031,-0.696053588600892,1.53314686368991,2.06401225950819,2.65680479706642
1982-Q3,-0.542902546971692,-0.0254384383481668,0.448497996601203,0.0613508953283861,0.634029511030957,1.13562044993164,-3.61506173330971,-3.00034439863451,-2.36534916473701
1982-Q4,0.67317905765647,1.13822441892195,1.60505033384875,-1.12341465568549,-0.664225597075898,-0.181579970811926,-1.85768487114952,-1.34116665710476,-0.814157946883403
