Time,resid_DOM_GDP_1,resid_DOM_GDP_2,resid_DOM_GDP_3,resid_DOM_CPI_1,resid_DOM_CPI_2,resid_DOM_CPI_3,resid_STN_1,resid_STN_2,resid_STN_3
1975-Q1,-2.40342778070561,-1.97156616831076,-1.58287301294111,-0.00459130507285078,0.276399540525267,0.575751819528905,-3.41054915681416,-3.00920758578673,-2.60073027308584
1975-Q2,0.272455694727798,0.784788568656138,1.19958984053738,-0.855494966637492,-0.527140387271503,-0.180688818396152,-1.47884892356488,-0.969946409307035,-0.522445293865778
1975-Q3,0.558460064184001,1.03040500235828,1.48154080286133,-0.482114267914453,-0.190060164050351,0.115428995656538,0.00463625397492686,0.491299608317452,0.875300214584179
1975-Q4,1.38008993600904,1.79079148497861,2.14803091987097,-0.102294720588159,0.162805447376532,0.400258067203209,-1.38853070783191,-0.986709700120592,-0.612990559029075
1976-Q1,0.960321782742279,1.33830247102587,1.67542872933012,-0.0801184781109149,0.182844703534975,0.421930547125943,-1.40559370062372,-1.03093410699581,-0.699220911813164
1976-Q2,-0.883217326368697,-0.526069363332362,-0.168608629309431,-1.15900660565405,-0.915993463087173,-0.697766507288105,-0.65828374116038,-0.292511015087628,0.0103585996582087
1976-Q3,-0.704461093757381,-0.418726277811557,-0.125685656985042,-0.303663316458395,-0.104593242466717,0.0883718724011538,-0.721655366543819,-0.402189998271276,-0.131742103351246
1976-Q4,-1.42838497343425,-1.19022599188618,-0.937242270777086,0.181320755489307,0.359044226899797,0.523342660595651,-1.05001256052464,-0.788655629816117,-0.524233187754484
1977-Q1,0.166410303845962,0.41983773142699,0.645810256174331,0.860240323402097,1.04454963401296,1.19385568112356,-0.730298328410323,-0.466488473195257,-0.224103623796991
1977-Q2,1.17035562409859,1.43777053216671,1.68777902227556,0.142533230939103,0.329229726448626,0.50831869864131,-0.130807227801437,0.109131704125082,0.358440226211437
1977-Q3,0.928018678708444,1.20248806298319,1.46748760375571,-0.0817021239313552,0.0989518297682552,0.271465764578447,-0.100880030811756,0.140377580009655,0.400633238614539
1977-Q4,-0.975366933274085,-0.694852420284235,-0.421696354865591,-0.430256089946471,-0.242360274466218,-0.0626719477309765,-0.122735728825742,0.133557730505551,0.419733290017842
1978-Q1,-1.42746160124622,-1.18865613632352,-0.944577785002051,-0.0872934646960999,0.0776707719978759,0.237222813523107,-0.349383908254675,-0.0873318145846498,0.1430501210072
1978-Q2,2.00059646122248,2.2352510715575,2.4599088675701,0.85006638458593,1.01451023712318,1.16496465073237,0.127378420381524,0.35961293224853,0.589412663117893
1978-Q3,1.05396754587654,1.31093669442623,1.56289364874227,0.680012554225051,0.88235134367184,1.05690930156798,0.153064502791509,0.395391487096913,0.687390268214301
1978-Q4,1.30810402195162,1.63901645569831,1.90688981313953,0.463673086501756,0.665094675511575,0.875341303206012,0.709206432000088,0.989127922900876,1.29809936802584
1979-Q1,-2.97065226919874,-2.57827474851571,-2.24808973881858,0.0789469485993934,0.302958490912891,0.544374884096571,-0.374005831626648,-0.0438956862082892,0.300971753319649
1979-Q2,-0.487590424496583,-0.120631257901734,0.24840471213224,0.893271409156763,1.12006771777171,1.33538143528811,-0.375493841875418,-0.0349331545221616,0.298722132606732
1979-Q3,-0.447134906767183,-0.0637820122169562,0.301711639289091,1.01341444320791,1.24497119273472,1.4763935859179,0.277408217893201,0.627017371646055,0.948737693677236
1979-Q4,-0.0405319891746466,0.337749103588512,0.720675506419636,0.833695976701187,1.09577967221429,1.34642064712505,2.1729972972549,2.53589002261337,2.87015347780948
1980-Q1,0.0710377473893672,0.492392643040747,0.911756505819407,0.879248018193038,1.17305574383718,1.45803281536316,1.19345217764006,1.58927557763868,1.99194017012516
1980-Q2,-2.80153499870875,-2.35258993158874,-1.91691839504649,0.294495323130697,0.614371569189238,0.916339605993032,-2.5885916801617,-2.16003454437349,-1.7429705178448
1980-Q3,-0.811041430039762,-0.34271250889871,0.102136677213438,-0.699581551684011,-0.378318353261661,-0.0452544101144747,-3.0677331576001,-2.62090859367305,-2.1557641455769
1980-Q4,0.621830013778203,1.10762736826823,1.56698830456292,-0.36024823382197,-0.0349650148041591,0.31299921710891,5.52558602671908,6.0139394813894,6.45141817586362
1981-Q1,3.05740190537086,3.57648879579477,4.11620838549613,-0.572514475970866,-0.168423511180005,0.177005174048001,0.749171345252008,1.24663889378234,1.77389241261268
1981-Q2,-0.754828082165789,-0.212654845871853,0.341011735053193,-0.0778683571679872,0.267454350200637,0.620884934698795,1.1330318977517,1.65041762511524,2.11261860437883
1981-Q3,-0.490316718896468,-0.0117287168090269,0.472909994507266,-0.25697462104987,0.079575028321769,0.396032976770884,-0.0516161173495945,0.422880213800278,0.886643369097916
1981-Q4,-2.87660711468244,-2.46335377849517,-2.03356282637698,-1.18260600075348,-0.889841902317349,-0.59321071063765,-3.77014315268826,-3.34647551271851,-2.93909170078449
1982-Q1,-1.23600669018486,-0.784138625817715,-0.353763160641665,-0.877710953044966,-0.574346443375608,-0.267801571009761,0.850129614978945,1.27606375075281,1.68358892912446
1982-Q2,-1.51653883223024,-1.12692035713324,-0.702287084019326,-1.16516103779806,-0.860658605941923,-0.573213980233065,0.710273919187018,1.1020443277095,1.53199650274785
1982-Q3,-0.497280056611753,-0.0234922563793824,0.402552332765607,0.0211313826365811,0.368993622572247,0.685121091284493,-2.76995022518929,-2.30472502729905,-1.83734050876594
1982-Q4,0.620095562828934,1.00146550153261,1.36725215048179,-0.523693341323677,-0.250461934118137,0.0159397110206313,-1.19873491478594,-0.821006344715623,-0.379874583282311
