Time,Y_G25,P_G25,I_G25,OilP_G25,Y_MX_G25,P_MX_G25,NEER_MX_G25,I_MX_G25,Y_W25,P_W25,I_W25,OIL_W25,Y_MX_W25,P_MX_W25,NEER_MX_W25,I_MX_W25,dummy_20q2,dummy_20q3
2005-Q1,0.950271716,0.93545063,2.836587635,7.888578546,0.2294782,0.438698862,0.643761588,9.51,0.948957748,0.935132767,2.836587635,7.888578546,0.229661,0.437722807,0.643751795,9.51,0,0
2005-Q2,1.564607755,0.701074242,3.28451124,8.340330255,-0.008676096,1.261295191,2.603659212,9.76,1.564190316,0.682329706,3.28451124,8.340330255,-0.009540593,1.264230246,2.603660424,9.76,0,0
2005-Q3,0.791901045,0.737343694,3.77258886,19.25213123,1.03750105,0.738668576,2.705768032,9.26,0.790206304,0.745018862,3.77258886,19.25213123,1.03805895,0.736904222,2.705777227,9.26,0,0
2005-Q4,3.113709466,0.792373546,4.336878689,-7.500676956,1.85226875,0.596342604,0.517252302,8.27,3.113926203,0.793094612,4.336878689,-7.500676956,1.8523791,0.596174942,0.517248701,8.27,0,0
2006-Q1,2.121636171,0.443505158,4.760368959,8.7470726,1.95535682,1.075676656,0.49943581,7.27,2.123052424,0.437842274,4.760368959,8.7470726,1.95448104,1.076348992,0.499434339,7.27,0,0
2006-Q2,1.350553975,1.276139628,5.213822674,12.78669107,0.87443553,0.671592784,-6.033611511,7.03,1.347836954,1.290422833,5.213822674,12.78669107,0.87576991,0.671093533,-6.033618037,7.03,0,0
2006-Q3,0.963375068,1.170398615,5.433230202,0.377106306,0.2506684,1.157442936,2.00538553,7.05,0.965988649,1.160042624,5.433230202,0.377106306,0.2499618,1.157444205,2.00539032,7.05,0,0
2006-Q4,0.337213872,0.022684196,5.368462352,-14.79455963,0.3531942,1.177200545,0.218128046,7.02,0.333210731,0.024121958,5.368462352,-14.79455963,0.3539114,1.177147632,0.218129433,7.02,0,0
2007-Q1,1.610660256,1.076951961,5.355521106,-2.773901881,0.6959957,1.001703694,-1.416407135,7.04,1.609234288,1.069732569,5.355521106,-2.773901881,0.6937329,1.002133772,-1.416410649,7.04,0,0
2007-Q2,0.75214384,0.874790621,5.357892832,18.36969001,0.665618489,0.596928024,0.263733195,7.3,0.752548704,0.895947539,5.357892832,18.36969001,0.668537511,0.596608278,0.263747514,7.3,0,0
2007-Q3,1.007409725,0.507458583,5.445433455,9.180407371,0.363244,1.168796871,-1.532781089,7.28,1.001298243,0.491306756,5.445433455,9.180407371,0.36171,1.168797488,-1.53279335,7.28,0,0
2007-Q4,-0.320117108,1.351240335,5.029335519,18.60702705,0.2389693,0.999972906,-0.645738719,7.57,-0.321727306,1.354478527,5.029335519,18.60702705,0.240277,1.000025531,-0.645728145,7.57,0,0
2008-Q1,0.504221687,2.254632891,3.262578237,8.613586997,0.03729747,1.008128169,-0.639941265,7.5,0.504495555,2.263765317,3.262578237,8.613586997,0.03681822,1.006993238,-0.639948949,7.5,0,0
2008-Q2,-0.557626631,2.442117809,2.750809175,26.69126267,0.66625584,1.687039642,2.850843665,7.75,-0.557917384,2.428108963,2.750809175,26.69126267,0.6667107,1.68945905,2.850853538,7.75,0,0
2008-Q3,-0.988257701,1.660371834,2.906756301,-5.611953297,0.1077131,1.696418616,2.144050493,8.25,-0.98426481,1.662316767,2.906756301,-5.611953297,0.10632204,1.695041242,2.144041918,8.25,0,0
2008-Q4,-3.772703969,-5.02669027,2.72233189,-51.65652663,-1.6011918,1.675923575,-17.38939266,8.25,-3.769735477,-5.024977372,2.72233189,-51.65652663,-1.59955666,1.676122782,-17.38939649,8.25,0,0
2009-Q1,-9.390228904,-3.669346231,1.240056504,-19.5147322,-6.18001193,0.969627848,-8.728001364,6.75,-9.394108917,-3.674077787,1.240056504,-19.5147322,-6.18442321,0.970015495,-8.727998589,6.75,0,0
2009-Q2,-3.525889328,-0.681784558,0.847322661,31.44715936,-1.62581827,1.459957954,6.178287742,4.75,-3.533091147,-0.665590905,0.847322661,31.44715936,-1.619885012,1.458940684,6.178285884,4.75,0,0
2009-Q3,3.953955561,0.737356526,0.412598472,15.63405381,3.60136015,0.961291357,-1.13263187,4.5,3.956203486,0.723182463,0.412598472,15.63405381,3.59826842,0.961817938,-1.132629084,4.5,0,0
