1985m2,8.5
1985m3,8.58
1985m4,8.27
1985m5,7.97
1985m6,7.53
1985m7,7.88
1985m8,7.9
1985m9,7.92
1985m10,7.99
1985m11,8.05
1985m12,8.27
1986m1,8.14
1986m2,7.86
1986m3,7.48
1986m4,6.99
1986m5,6.85
1986m6,6.92
1986m7,6.56
1986m8,6.17
1986m9,5.89
1986m10,5.85
1986m11,6.04
1986m12,6.91
1987m1,6.43
1987m2,6.1
1987m3,6.13
1987m4,6.37
1987m5,6.85
1987m6,6.73
1987m7,6.58
1987m8,6.73
1987m9,7.22
1987m10,7.29
1987m11,6.69
1987m12,6.77
1988m1,6.83
1988m2,6.58
1988m3,6.58
1988m4,6.87
1988m5,7.09
1988m6,7.51
1988m7,7.75
1988m8,8.01
1988m9,8.19
1988m10,8.3
1988m11,8.35
1988m12,8.76
1989m1,9.12
1989m2,9.36
1989m3,9.85
1989m4,9.84
1989m5,9.81
1989m6,9.53
1989m7,9.24
1989m8,8.99
1989m9,9.02
1989m10,8.84
1989m11,8.55
1989m12,8.45
1990m1,8.23
1990m2,8.24
1990m3,8.28
1990m4,8.26
1990m5,8.18
1990m6,8.29
1990m7,8.15
1990m8,8.13
1990m9,8.2
1990m10,8.11
1990m11,7.81
1990m12,7.31
1991m1,6.91
1991m2,6.25
1991m3,6.12
1991m4,5.91
1991m5,5.78
1991m6,5.9
1991m7,5.82
1991m8,5.66
1991m9,5.45
1991m10,5.21
1991m11,4.81
1991m12,4.43
1992m1,4.03
1992m2,4.06
1992m3,3.98
1992m4,3.73
1992m5,3.82
1992m6,3.76
1992m7,3.25
1992m8,3.3
1992m9,3.22
1992m10,3.1
1992m11,3.09
1992m12,2.92
1993m1,3.02
1993m2,3.03
1993m3,3.07
1993m4,2.96
1993m5,3
1993m6,3.04
1993m7,3.06
1993m8,3.03
1993m9,3.09
1993m10,2.99
1993m11,3.02
1993m12,2.96
1994m1,3.05
1994m2,3.25
1994m3,3.34
1994m4,3.56
1994m5,4.01
1994m6,4.25
1994m7,4.26
1994m8,4.47
1994m9,4.73
1994m10,4.76
1994m11,5.29
1994m12,5.45
1995m1,5.53
1995m2,5.92
1995m3,5.98
1995m4,6.05
1995m5,6.01
1995m6,6
1995m7,5.85
1995m8,5.74
1995m9,5.8
1995m10,5.76
1995m11,5.8
1995m12,5.6
1996m1,5.56
1996m2,5.22
1996m3,5.31
1996m4,5.22
1996m5,5.24
1996m6,5.27
1996m7,5.4
1996m8,5.22
1996m9,5.3
1996m10,5.24
1996m11,5.31
1996m12,5.29
1997m1,5.25
1997m2,5.19
1997m3,5.39
1997m4,5.51
1997m5,5.5
1997m6,5.56
1997m7,5.52
1997m8,5.54
1997m9,5.54
1997m10,5.5
1997m11,5.52
1997m12,5.5
1998m1,5.56
1998m2,5.51
1998m3,5.49
1998m4,5.45
1998m5,5.49
1998m6,5.56
1998m7,5.54
1998m8,5.55
1998m9,5.51
1998m10,5.07
1998m11,4.83
1998m12,4.68
1999m1,4.63
1999m2,4.76
1999m3,4.81
1999m4,4.74
1999m5,4.74
1999m6,4.76
1999m7,4.99
1999m8,5.07
1999m9,5.22
1999m10,5.2
1999m11,5.42
1999m12,5.3
2000m1,5.45
2000m2,5.73
2000m3,5.85
2000m4,6.02
2000m5,6.27
2000m6,6.53
2000m7,6.54
2000m8,6.5
2000m9,6.52
2000m10,6.51
2000m11,6.51
2000m12,6.4
2001m1,5.98
2001m2,5.49
2001m3,5.31
2001m4,4.8
2001m5,4.21
2001m6,3.97
2001m7,3.77
2001m8,3.65
